,city,company,summary,title,AvgSal,salCategory,Salary
1705,Chicago,Analytic Recruiting,"Crafting the methodology, to data modeling using tools like SAS / R, and ultimately delivering final insightful recommendations....",Predictive Modeling Director,120000,High,1
1706,Chicago,Workbridge Associates,A brand new startup moving its headquarters right downtown is looking for a Lead Data Scientist to join their team....,Lead Data Scientist,160000,High,1
1707,Chicago,North shore Staffing Group,Business Data Analyst ‰ÛÒ Mobile Devices to join their Data Sciences team. Works with data scientist and technology team to identify device-related parameters and...,Business Data Analyst,95000,High,1
1708,Chicago,Workbridge Associates,"Hadoop/Hive/Pig Big data Experience. A non-profit research and development organization in Des Plaines which develops, demonstrates, and licenses new energy...","Senior Data Scientist (Python, R) in Des Plaines",120000,High,1
1709,Chicago,Workbridge Associates,They need someone with the experience to be hands-on with their data and analytical tools as well as manage and mentor a small team of more junior data...,"Manager of Data Science (Python, R)",185000,High,1
1710,Chicago,Workbridge Associates,This agile team will create and develop new solutions to help efficiently analyze and interpret massive data streams as the work itself lives in the continuous...,Senior Java Computer Scientist,130000,High,1
1711,Chicago,Analytic Recruiting,Take analytical objectives and define data requirements. Analytics Firm seeking a Data Scientist to consult to clients and implement advanced statistical and...,Lead Data Scientist,140000,High,1
1712,Chicago,Smith Hanley Associates,"Statistical Analyst/Data Scientist. Extract, clean, and transform customer data for analysis and reporting....",Data Scientist,90000,High,1
1713,Chicago,3coast,"Uses sensory data in new product development efforts, when appropriate. Demonstrates strong data evaluation skills with a working knowledge of statistics;...",Product Development Specialist - Food R&D,90000,High,1
1714,Chicago,Food Management Search,"Data, drawing conclusions, documenting,. A technical leadership role providing direction....",Food Scientist MS or PhD - Meat Products,85000,High,1
1715,Chicago,Jobspring Partners,"Data, data science, data engineer, linux, unix, AWS, python, Python analyst, analyst, R, R programing, ETL, Big data, Spark, SQL, Pentaho, Java, Scala, Data...",Data Scientist,110000,High,1
1716,Chicago,Workbridge Associates,"A major healthcare insurance corporation has been building out a new Data Analytics team in their Chicago office, and they are looking to add a Principal Data...",Principal Data Scientist,165000,High,1
1717,Chicago,Modis,"SQL background to extract data. Producing formal reports to collect data on monthly, quarterly and annual trends....",Statistical Data Analyst // Exciting Long-term Contract in N...,50000,Low,0
1718,Chicago,NJF Search,"Each team has trading strats (TS) who are a mix between data scientist, programmer and trader. _Head-quartered in Chicago and with an office in San Francisco...",High Frequency Strategy Engineer,170000,High,1
1719,Chicago,Hirewell,Bring structure to large quantities of data - turn unstructured data into structured data. Data Extraction Tools:....,Data Scientist -Fitness/Wellness Firm,120000,High,1
1720,Chicago,Clinical Management Consultants,"Manager Health Information Management Data Analysis HIM Job in Chicago IL. Manager Health Information Management, Manager HIM, Manager Coding, Manager Data...",Manager Health Information Management Data Analysis HIM,82329,High,1
1721,Chicago,Workbridge Associates,This is a great opportunity to join a team of passionate computer and data scientists and play an instrumental role in continuing their data evolution....,Lead Data Engineer,132500,High,1
1722,Chicago,Jobspring Partners,"Data, Engineer, Scientist, Big Data, Hadoop, Hive, Pig, Spark, Storm, AWS, Cloud, Java, Python, Agile, Startup, Chicago, Full-time....",Data Engineer,90000,High,1
1723,Chicago,Workbridge Associates,Hiring for a Senior Data Scientist for a major healthcare corporation that is building out a new data analytics team in Chicago....,Senior Data Scientist (Deep Learning or NLP),130000,High,1
1724,Chicago,ITStaff Technical Resources,"Working with data scientists on optimal data structures, analytics and automation of data ingestion. Be familiar with data transformation, transport, reporting,...",Technical Project Manager/Business Analyst,85000,High,1
1725,Chicago,Workbridge Associates,"Big Data with Hadoop, Hive, Impala. Mid, Senior, Lead, Director, Data, Scientist, Science, Machine, Learning, Predictive, Analytics, Engineer, Developer, Python...",Director of Data Analytics,170000,High,1
1726,Chicago,Workbridge Associates,"Big Data with Hadoop, Hive, Impala. Mid, Senior, Lead, Data, Scientist, Machine, Learning, Predictive, Analytics, Engineer, Developer, Python, R, Hadoop, Hive,...",Director of Data Science,180000,High,1
1727,Chicago,Selby Jennings,"Equity Research Analyst ‰ÛÒ Biotech - Chicago, IL Selby Jennings‰Ûª client, a boutique asset management firm, is looking to add an Equity Research Analyst who","Equity Research Analyst ‰ÛÒ Biotech - Chicago, IL",137500,High,1
1728,Chicago,Jobspring Partners,NET Visual Studio big data bigdata analytics distributed computing parallel data scientist Microsoft cloud SAAS C# OOP algorithms data structures design...,Mid-Level C# .NET Software Engineer,90000,High,1
